Game,White Player,whiteElo,Black Player,blackElo,Moves,ECO,Site,Year,Result,HansWhite,HansResult,HansElo,oppElo,EloDiff,expPoints,residual
119,"Niemann, Hans Moke",2635,"Vakhidov, Jakhongir",2557,32,D96,Tashkent,2021,1,1,1,2635,2557,78,0.6,0.4
120,"Bernadskiy, Vitaliy",2592,"Niemann, Hans Moke",2635,58,C28,Tashkent,2021,1,0,0,2635,2592,43,0.55,-0.55
121,"Sindarov, Javokhir",2587,"Niemann, Hans Moke",2635,17,C55,Tashkent,2021,0.5,0,0.5,2635,2587,48,0.56,-0.06
122,"Niemann, Hans Moke",2635,"Vokhidov, Shamsiddin",2521,55,E10,Tashkent,2021,1,1,1,2635,2521,114,0.65,0.35
123,"Niemann, Hans Moke",2635,"Utegaliyev, Azamat",2488,30,A40,Tashkent,2021,0.5,1,0.5,2635,2488,147,0.69,-0.19
124,"Koziak, Vitali",2407,"Niemann, Hans Moke",2635,48,B57,Tashkent,2021,0,0,1,2635,2407,228,0.78,0.22
125,"Niemann, Hans Moke",2635,"Rakhmatullaev, Almas",2183,40,E10,Tashkent UZB,2021,1,1,1,2635,2183,452,0.93,0.07
126,"Xiong, Jeffery",2687,"Niemann, Hans Moke",2635,78,A48,Riga LAT,2021,0.5,0,0.5,2635,2687,-52,0.43,0.07
127,"Sadhwani, Raunak",2609,"Niemann, Hans Moke",2638,75,C92,Riga,2021,0.5,0,0.5,2638,2609,29,0.53,-0.03
128,"Niemann, Hans Moke",2638,"Xiong, Jeffery",2700,25,A06,Riga,2021,0,1,0,2638,2700,-62,0.41,-0.41
129,"Wojtaszek, Radoslaw",2691,"Niemann, Hans Moke",2638,31,D47,Riga,2021,0.5,0,0.5,2638,2691,-53,0.43,0.07
130,"Artemiev, Vladislav",2699,"Niemann, Hans Moke",2638,51,D47,Riga,2021,0.5,0,0.5,2638,2699,-61,0.42,0.08
131,"Niemann, Hans Moke",2638,"Sindarov, Javokhir",2587,40,A05,Riga,2021,1,1,1,2638,2587,51,0.56,0.44
132,"Bjerre, Jonas Buhl",2569,"Niemann, Hans Moke",2638,57,C84,Riga,2021,0,0,1,2638,2569,69,0.59,0.41
133,"Niemann, Hans Moke",2638,"Ter Sahakyan, S.",2607,48,E36,Riga LAT,2021,0.5,1,0.5,2638,2607,31,0.53,-0.03
134,"Niemann, Hans Moke",2638,"Ter-Sahakyan, Samvel",2607,48,E36,Riga,2021,0.5,1,0.5,2638,2607,31,0.53,-0.03
135,"Goryachkina, Aleksandra",2602,"Niemann, Hans Moke",2638,45,D45,Riga,2021,0.5,0,0.5,2638,2602,36,0.54,-0.04
136,"Niemann, Hans Moke",2638,"Nguyen, Thai Dai Van",2577,76,A05,Riga LAT,2021,0.5,1,0.5,2638,2577,61,0.58,-0.08
137,"Niemann, Hans Moke",2638,"Nguyen, Thai Dai Van",2577,76,A05,Riga,2021,0.5,1,0.5,2638,2577,61,0.58,-0.08
138,"Aronian, Levon",2782,"Niemann, Hans Moke",2638,42,C55,Riga,2021,1,0,0,2638,2782,-144,0.31,-0.31
139,"Niemann, Hans Moke",2638,"Vachier Lagrave, M.",2763,33,A04,Riga LAT,2021,0.5,1,0.5,2638,2763,-125,0.33,0.17
140,"Niemann, Hans Moke",2638,"Vachier-Lagrave, Maxime",2763,33,A04,Riga,2021,0.5,1,0.5,2638,2763,-125,0.33,0.17
141,"Petrov, Martin",2533,"Niemann, Hans Moke",2609,46,C55,Plovdiv,2021,0.5,0,0.5,2609,2533,76,0.6,-0.1
142,"Niemann, Hans Moke",2609,"Sarana, Alexey",2635,69,A21,Plovdiv,2021,0.5,1,0.5,2609,2635,-26,0.46,0.04
143,"Puranik, Abhimanyu",2568,"Niemann, Hans Moke",2609,43,A05,Plovdiv,2021,0.5,0,0.5,2609,2568,41,0.55,-0.05
144,"Niemann, Hans Moke",2609,"Ochedzan, Tymon",2300,36,E91,Plovdiv,2021,1,1,1,2609,2300,309,0.85,0.15
145,"Muradli, Mahammad",2487,"Niemann, Hans Moke",2609,44,A20,Plovdiv,2021,0.5,0,0.5,2609,2487,122,0.66,-0.16
146,"Niemann, Hans Moke",2609,"Ioannidis, Evgenios",2445,56,E50,Plovdiv,2021,0.5,1,0.5,2609,2445,164,0.71,-0.21
147,"Bashirli, Nail",2382,"Niemann, Hans Moke",2609,31,B30,Plovdiv,2021,0,0,1,2609,2382,227,0.78,0.22
148,"Niemann, Hans Moke",2609,"Papadiamandis, Elliot",2404,64,A05,Plovdiv,2021,0.5,1,0.5,2609,2404,205,0.75,-0.25
149,"Urh, Zala",2234,"Niemann, Hans Moke",2609,46,E17,Plovdiv,2021,0,0,1,2609,2234,375,0.9,0.1
150,"Niemann, Hans Moke",2609,"Adhiban, Baskaran",2672,53,D85,Sharjah,2021,0.5,1,0.5,2609,2672,-63,0.41,0.09
151,"Harutyunian, T.",2573,"Niemann, Hans Moke",2609,58,D45,Sharjah UAE,2021,0,0,1,2609,2573,36,0.54,0.46
152,"Niemann, Hans Moke",2609,"Nikolov, Mo",2522,36,E11,Sharjah UAE,2021,1,1,1,2609,2522,87,0.61,0.39
